"Plot","Treatment","P.fert","N.fert","K.fert","Mass","Ca","K","Mg","N","Na","P"
"1","P","TRUE","FALSE","FALSE",9246.44919590643,113.146615400026,36.6346827876395,35.028899639725,130.785920205998,10.1276398495978,10.4347066372604
"10","NK","FALSE","TRUE","TRUE",9041.69956140351,86.6565788743549,78.7240749558944,24.3065251138759,133.255619932932,5.14408008970988,5.501920259615
"11","N","FALSE","TRUE","FALSE",7103.85233918129,59.1509517131667,45.8846346819814,21.2434244741323,98.9733252414954,5.07741080589207,3.14964191301535
"12","C","FALSE","FALSE","FALSE",8448.34795321637,107.816967984637,38.3911024525271,25.5296070519711,102.926302401781,4.8724921007965,3.43245359848616
"13","PK","TRUE","FALSE","TRUE",9400.09320175439,128.290363529638,51.4888016566388,35.0614356784018,141.931483715099,5.88328683888279,12.2984048094616
"14","P","TRUE","FALSE","FALSE",9037.64802631579,149.248828651933,58.5608458040448,38.284507963984,144.067121579448,9.02758905176132,11.1733602034396
"15","NP","TRUE","TRUE","FALSE",7804.67105263158,120.208938598559,40.1329458149908,28.562679718669,123.867722574614,6.50720878501171,5.9464545022625
"17","NPK","TRUE","TRUE","TRUE",14331.0361842105,247.54110927014,85.5428334259121,57.7181336696046,218.659147429888,9.81820380288669,12.0431443625875
"18","K","FALSE","FALSE","TRUE",8417.58954678363,121.006476285119,51.7521334284731,23.4501179792496,108.906808363019,5.68082754258916,4.96023400234393
"19","K","FALSE","FALSE","TRUE",10175.9210526316,129.818807034791,68.5116889166108,26.1312000517989,151.691018291526,6.68811206355158,5.12201600655276
"2","K","FALSE","FALSE","TRUE",8911.14766081871,82.2389306783833,54.6480013465968,22.9452404211065,124.374081015607,8.1821008818258,4.16576089694316
"20","NPK","TRUE","TRUE","TRUE",14953.6714181287,220.435297003085,108.541871131048,68.0762832686355,207.703322753964,8.62121172585701,10.4996013475377
"21","PK","TRUE","FALSE","TRUE",11020.2576754386,159.910364286953,45.873187465987,29.3956454852889,132.981478628302,15.0151216135251,10.0001262803973
"22","NP","TRUE","TRUE","FALSE",17207.8691520468,296.974173124909,72.9181681788948,78.513783138897,227.711958858554,19.5013655032597,13.3598860112137
"23","N","FALSE","TRUE","FALSE",14793.3369883041,163.509019212963,82.5619645113318,49.170721421897,220.130167708811,13.5172451444684,7.33798973183436
"24","P","TRUE","FALSE","FALSE",13858.4064327485,151.225195527055,67.1829151841147,44.2153875159696,172.828103403076,17.0983048664069,10.4549207572484
"26","C","FALSE","FALSE","FALSE",13033.7518274854,216.141817646583,69.8326534815873,32.8049135496443,173.575021344661,13.113747978208,6.73303108844331
"27","NK","FALSE","TRUE","TRUE",9463.11220760234,129.84154331719,66.8993153216684,36.5171060953774,166.860130332153,5.71244743392198,6.73634365035555
"28","N","FALSE","TRUE","FALSE",13756.3048245614,141.45082563537,56.590335788285,38.9810467079448,210.195681337214,13.8330167277307,6.74450133385403
"29","NPK","TRUE","TRUE","TRUE",12101.2426900585,154.604938344912,73.126627756561,41.126237943773,181.075530054889,12.8598223207937,7.86547004520888
"3","NP","TRUE","TRUE","FALSE",14812.4780701754,184.772001191916,100.588271319617,84.6556442476,205.936033790199,8.80171618768218,12.2881158272354
"30","P","TRUE","FALSE","FALSE",15513.3972953216,303.519890653358,62.956697377433,47.1526989276014,237.153673439737,20.5272506805004,13.1647094890738
"32","K","FALSE","FALSE","TRUE",10843.4886695906,178.560685131111,85.7318663954072,38.1744204375374,179.950661413009,6.72177575952398,6.96436008556454
"33","PK","TRUE","FALSE","TRUE",14019.480994152,234.392621718207,73.7623816036867,60.0808701234808,213.998710041899,15.7883533640588,14.040921456089
"34","NK","FALSE","TRUE","TRUE",9771.15497076024,109.913229253603,65.9383440416738,27.061463945456,136.994732797276,7.54598355819943,4.26617740556749
"35","NP","TRUE","TRUE","FALSE",12931.6739766082,227.10867956285,57.1181696147354,54.3042444763119,196.444790917103,8.65884116679192,11.1577288338211
"36","C","FALSE","FALSE","FALSE",11197.4744152047,134.160288789468,51.3047215591228,32.9739222138147,162.515569773919,9.38131053886535,4.58303051734208
"4","N","FALSE","TRUE","FALSE",12110.1133040936,133.093468293685,60.9074294525276,39.0180583984407,175.022470527461,13.9686725138261,6.17157757674958
"5","NPK","TRUE","TRUE","TRUE",8314.53216374269,108.861091599215,33.6687377517564,22.8192672554488,124.762035009322,6.39646962154645,5.89441403241279
"6","C","FALSE","FALSE","FALSE",8111.43274853801,111.924613685291,46.0560777822592,25.352032521788,98.4448764086037,7.24461030781849,4.02026257116437
"7","PK","TRUE","FALSE","TRUE",11188.4064327485,142.677119129395,65.3130633859073,37.6306170268653,147.040709746,9.414128974932,13.9710214824895
"9","NK","FALSE","TRUE","TRUE",10788.9930555556,153.549578111017,70.6266897134807,33.4079707517269,176.94103438556,10.4240965955884,5.39928879889668
