"Plot","Treatment","Replicate","Block","N","P","K"
"1","+P","1","1","FALSE","TRUE","FALSE"
"10","+NK","1","2","TRUE","FALSE","TRUE"
"11","+N","2","2","TRUE","FALSE","FALSE"
"12","Control","2","1","FALSE","FALSE","FALSE"
"13","+PK","2","1","FALSE","TRUE","TRUE"
"14","+P","2","2","FALSE","TRUE","FALSE"
"15","+NP","2","1","TRUE","TRUE","FALSE"
"17","+NPK","2","2","TRUE","TRUE","TRUE"
"18","+K","2","2","FALSE","FALSE","TRUE"
"19","+K","3","1","FALSE","FALSE","TRUE"
"2","+K","1","1","FALSE","FALSE","TRUE"
"20","+NPK","3","1","TRUE","TRUE","TRUE"
"21","+PK","3","2","FALSE","TRUE","TRUE"
"22","+NP","3","2","TRUE","TRUE","FALSE"
"23","+N","3","1","TRUE","FALSE","FALSE"
"24","+P","3","1","FALSE","TRUE","FALSE"
"26","Control","3","2","FALSE","FALSE","FALSE"
"27","+NK","3","2","TRUE","FALSE","TRUE"
"28","+N","4","1","TRUE","FALSE","FALSE"
"29","+NPK","4","1","TRUE","TRUE","TRUE"
"3","+NP","1","2","TRUE","TRUE","FALSE"
"30","+P","4","1","FALSE","TRUE","FALSE"
"32","+K","4","1","FALSE","FALSE","TRUE"
"33","+PK","4","2","FALSE","TRUE","TRUE"
"34","+NK","4","2","TRUE","FALSE","TRUE"
"35","+NP","4","2","TRUE","TRUE","FALSE"
"36","Control","4","2","FALSE","FALSE","FALSE"
"4","+N","1","1","TRUE","FALSE","FALSE"
"5","+NPK","1","1","TRUE","TRUE","TRUE"
"6","Control","1","2","FALSE","FALSE","FALSE"
"7","+PK","1","2","FALSE","TRUE","TRUE"
"9","+NK","2","1","TRUE","FALSE","TRUE"
